order_id,client_id,account_id,instrument_id,order_type,side,quantity,price,executed_price,status,idempotency_key,external_order_id
1,1,1,RELIANCE,HOLDING,BUY,40,2875.5000,2875.5000,FILLED,ord-1001-aarav-rel-buy,EXT-000001
2,1,1,RELIANCE,HOLDING,BUY,20,2910.2500,2910.2500,FILLED,ord-1002-aarav-rel-add,EXT-000002
3,1,1,RELIANCE,HOLDING,SELL,15,2950.0000,2950.0000,FILLED,ord-1003-aarav-rel-trim,EXT-000003
4,1,1,TCS,POSITION,BUY,25,3840.0000,3840.0000,FILLED,ord-1004-aarav-tcs-in,EXT-000004
5,1,1,TCS,POSITION,SELL,25,3902.7500,3902.7500,FILLED,ord-1005-aarav-tcs-out,EXT-000005
6,2,2,INFY,HOLDING,BUY,60,1562.0000,1562.0000,FILLED,ord-1006-diya-infy-buy,EXT-000006
7,2,2,HDFCBANK,POSITION,SELL,30,1698.5000,1698.5000,FILLED,ord-1007-diya-hdfc-short,EXT-000007
8,2,2,ICICIBANK,HOLDING,BUY,100,1042.0000,,REJECTED,ord-1008-diya-icici-buy,
9,3,3,RELIANCE,HOLDING,BUY,150,2860.0000,2860.0000,FILLED,ord-1009-rohan-rel-buy,EXT-000009
10,3,3,ITC,HOLDING,BUY,500,412.7500,412.7500,FILLED,ord-1010-rohan-itc-buy,EXT-000010
11,3,3,ITC,HOLDING,SELL,200,425.0000,425.0000,FILLED,ord-1011-rohan-itc-trim,EXT-000011
12,3,3,TATAMOTORS,POSITION,BUY,120,918.4000,918.4000,FILLED,ord-1012-rohan-tata-in,EXT-000012
13,3,3,TATAMOTORS,POSITION,BUY,80,930.1500,930.1500,FILLED,ord-1013-rohan-tata-add,EXT-000013
14,3,3,INFY,HOLDING,BUY,25,1571.2500,,NEW,ord-1014-rohan-infy-buy,
15,3,3,TCS,POSITION,BUY,10,3888.0000,,NEW,ord-1015-rohan-tcs-new,
16,4,4,ICICIBANK,HOLDING,BUY,45,1035.5000,1035.5000,FILLED,ord-1016-meera-icici-buy,EXT-000016
17,4,4,ICICIBANK,HOLDING,BUY,30,1050.0000,,REJECTED,ord-1017-meera-icici-add,
18,5,5,HDFCBANK,POSITION,BUY,50,1705.0000,1705.0000,FILLED,ord-1018-vikram-hdfc-in,EXT-000018
19,5,5,HDFCBANK,POSITION,SELL,50,1712.6000,1712.6000,FILLED,ord-1019-vikram-hdfc-out,EXT-000019
20,5,5,LEGACYCORP,HOLDING,BUY,300,212.3000,212.3000,FILLED,ord-1020-vikram-legacy,EXT-000020
21,5,5,LEGACYCORP,HOLDING,SELL,300,205.0000,,CANCELLED,ord-1021-vikram-legacy-x,
22,6,6,RELIANCE,HOLDING,BUY,10,2799.0000,2799.0000,FILLED,ord-1022-sanya-rel-buy,EXT-000022
23,6,6,RELIANCE,HOLDING,SELL,10,2830.5000,2830.5000,FILLED,ord-1023-sanya-rel-exit,EXT-000023
