history_id,order_id,event_type,previous_status,new_status,external_status,external_order_id,request_id,failure_code,failure_reason,event_timestamp,created_at
1,1,CREATED,,NEW,,,req-000001,,,2026-01-05 09:16:00,2026-01-05 09:16:00
2,1,FILLED,NEW,FILLED,FILLED,EXT-000001,req-000001,,,2026-01-05 09:17:00,2026-01-05 09:17:00
3,2,CREATED,,NEW,,,req-000002,,,2026-01-05 09:18:00,2026-01-05 09:18:00
4,2,FILLED,NEW,FILLED,FILLED,EXT-000002,req-000002,,,2026-01-05 09:19:00,2026-01-05 09:19:00
5,3,CREATED,,NEW,,,req-000003,,,2026-01-05 09:20:00,2026-01-05 09:20:00
6,3,FILLED,NEW,FILLED,FILLED,EXT-000003,req-000003,,,2026-01-05 09:21:00,2026-01-05 09:21:00
7,4,CREATED,,NEW,,,req-000004,,,2026-01-05 09:22:00,2026-01-05 09:22:00
8,4,FILLED,NEW,FILLED,FILLED,EXT-000004,req-000004,,,2026-01-05 09:23:00,2026-01-05 09:23:00
9,5,CREATED,,NEW,,,req-000005,,,2026-01-05 09:24:00,2026-01-05 09:24:00
10,5,FILLED,NEW,FILLED,FILLED,EXT-000005,req-000005,,,2026-01-05 09:25:00,2026-01-05 09:25:00
11,6,CREATED,,NEW,,,req-000006,,,2026-01-05 09:26:00,2026-01-05 09:26:00
12,6,FILLED,NEW,FILLED,FILLED,EXT-000006,req-000006,,,2026-01-05 09:27:00,2026-01-05 09:27:00
13,7,CREATED,,NEW,,,req-000007,,,2026-01-05 09:28:00,2026-01-05 09:28:00
14,7,FILLED,NEW,FILLED,FILLED,EXT-000007,req-000007,,,2026-01-05 09:29:00,2026-01-05 09:29:00
15,8,CREATED,,NEW,,,req-000008,,,2026-01-05 09:30:00,2026-01-05 09:30:00
16,8,REJECTED,NEW,REJECTED,,,req-000008,ORD-400,insufficient funds in linked bank account,2026-01-05 09:31:00,2026-01-05 09:31:00
17,9,CREATED,,NEW,,,req-000009,,,2026-01-05 09:32:00,2026-01-05 09:32:00
18,9,FILLED,NEW,FILLED,FILLED,EXT-000009,req-000009,,,2026-01-05 09:33:00,2026-01-05 09:33:00
19,10,CREATED,,NEW,,,req-000010,,,2026-01-05 09:34:00,2026-01-05 09:34:00
20,10,FILLED,NEW,FILLED,FILLED,EXT-000010,req-000010,,,2026-01-05 09:35:00,2026-01-05 09:35:00
21,11,CREATED,,NEW,,,req-000011,,,2026-01-05 09:36:00,2026-01-05 09:36:00
22,11,FILLED,NEW,FILLED,FILLED,EXT-000011,req-000011,,,2026-01-05 09:37:00,2026-01-05 09:37:00
23,12,CREATED,,NEW,,,req-000012,,,2026-01-05 09:38:00,2026-01-05 09:38:00
24,12,FILLED,NEW,FILLED,FILLED,EXT-000012,req-000012,,,2026-01-05 09:39:00,2026-01-05 09:39:00
25,13,CREATED,,NEW,,,req-000013,,,2026-01-05 09:40:00,2026-01-05 09:40:00
26,13,FILLED,NEW,FILLED,FILLED,EXT-000013,req-000013,,,2026-01-05 09:41:00,2026-01-05 09:41:00
27,14,CREATED,,NEW,,,req-000014,,,2026-01-05 09:42:00,2026-01-05 09:42:00
28,15,CREATED,,NEW,,,req-000015,,,2026-01-05 09:43:00,2026-01-05 09:43:00
29,16,CREATED,,NEW,,,req-000016,,,2026-01-05 09:44:00,2026-01-05 09:44:00
30,16,FILLED,NEW,FILLED,FILLED,EXT-000016,req-000016,,,2026-01-05 09:45:00,2026-01-05 09:45:00
31,17,CREATED,,NEW,,,req-000017,,,2026-01-05 09:46:00,2026-01-05 09:46:00
32,17,REJECTED,NEW,REJECTED,,,req-000017,ACC-403,client account is suspended,2026-01-05 09:47:00,2026-01-05 09:47:00
33,18,CREATED,,NEW,,,req-000018,,,2026-01-05 09:48:00,2026-01-05 09:48:00
34,18,FILLED,NEW,FILLED,FILLED,EXT-000018,req-000018,,,2026-01-05 09:49:00,2026-01-05 09:49:00
35,19,CREATED,,NEW,,,req-000019,,,2026-01-05 09:50:00,2026-01-05 09:50:00
36,19,FILLED,NEW,FILLED,FILLED,EXT-000019,req-000019,,,2026-01-05 09:51:00,2026-01-05 09:51:00
37,20,CREATED,,NEW,,,req-000020,,,2026-01-05 09:52:00,2026-01-05 09:52:00
38,20,FILLED,NEW,FILLED,FILLED,EXT-000020,req-000020,,,2026-01-05 09:53:00,2026-01-05 09:53:00
39,21,CREATED,,NEW,,,req-000021,,,2026-01-05 09:54:00,2026-01-05 09:54:00
40,21,CANCELLED,NEW,CANCELLED,,,req-000021,,,2026-01-05 09:55:00,2026-01-05 09:55:00
41,22,CREATED,,NEW,,,req-000022,,,2026-01-05 09:56:00,2026-01-05 09:56:00
42,22,FILLED,NEW,FILLED,FILLED,EXT-000022,req-000022,,,2026-01-05 09:57:00,2026-01-05 09:57:00
43,23,CREATED,,NEW,,,req-000023,,,2026-01-05 09:58:00,2026-01-05 09:58:00
44,23,FILLED,NEW,FILLED,FILLED,EXT-000023,req-000023,,,2026-01-05 09:59:00,2026-01-05 09:59:00
